time,control_bump_0,control_bump_1,control_drive_0,control_drive_1,control_vision_0,control_vision_1,drive,decoder_driveout,decoder_bumpout,decoder_bumpout-filtered,decoder_vision,decoder_positionout
1.151,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.594;0.919,-0.002;-0.025,-0.267;0.128,-0.517;0.205,0.709;0.448
1.161,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.268;0.664,-0.439;0.100,0.029;0.061,-0.488;0.054,0.950;0.699
1.171,0.000,0.000,1.000,-0.100,0.000,0.000,0.000;0.000,0.930;0.992,-0.269;0.092,-0.054;-0.048,-0.157;0.190,0.876;0.961
1.181,0.000,0.000,1.000,-0.686,0.000,0.000,0.000;0.000,0.624;1.145,-0.094;0.032,-0.067;-0.028,-0.153;-0.293,1.061;0.695
1.190,0.000,0.000,1.000,-0.878,0.000,0.000,0.000;0.000,0.524;1.195,-0.036;0.012,-0.131;0.331,0.481;-0.276,1.318;0.597
1.200,0.000,0.000,1.000,-0.958,0.000,0.000,0.000;0.000,0.483;1.215,-0.026;-0.117,-0.074;0.302,0.743;-0.269,0.815;0.395
1.210,0.000,0.000,1.000,-0.985,0.000,0.000,0.000;0.000,0.631;0.856,-0.486;-0.385,-0.031;0.218,0.399;0.511,0.622;0.215
1.220,0.000,0.000,1.000,-0.995,0.000,0.000,0.000;0.000,0.109;0.570,-0.959;-0.045,0.004;0.048,0.102;-0.083,0.387;0.179
1.230,0.000,0.000,1.000,-0.998,0.000,0.000,0.000;0.000,0.045;0.306,0.060;-0.188,0.152;0.049,-0.046;-0.351,0.498;0.505
1.240,0.000,0.000,1.000,-0.999,0.000,0.000,0.000;0.000,0.421;0.497,0.302;-0.257,0.408;-0.272,-0.245;-0.153,0.922;1.196
1.250,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,0.953;0.822,0.488;-0.159,0.191;-0.137,0.089;0.139,0.823;0.601
1.261,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,0.993;1.417,0.153;-0.050,0.067;-0.142,0.208;0.178,0.716;0.272
1.271,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,0.785;1.134,0.053;-0.017,0.033;0.195,0.070;-0.095,0.321;0.111
1.281,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,0.557;0.644,0.019;-0.006,0.484;0.411,-0.034;0.263,0.608;0.426
1.291,0.000,0.000,1.000,-0.531,0.000,0.000,0.000;0.000,0.831;0.377,0.141;-0.179,0.104;0.372,0.667;-0.330,0.704;0.423
1.301,0.000,0.000,1.000,-0.185,0.000,0.000,0.000;0.000,0.518;-0.080,0.375;-0.491,-0.205;0.802,0.065;-0.446,0.811;0.234
1.311,0.000,0.000,1.000,-0.065,0.000,0.000,0.000;0.000,0.394;-0.750,0.131;-0.171,-0.242;0.293,-0.476;-0.451,1.059;0.721
1.320,0.000,0.000,1.000,-0.025,0.000,0.000,0.000;0.000,0.449;-0.943,0.051;-0.066,-0.197;0.370,-0.184;-0.175,0.367;0.496
1.330,0.000,0.000,1.000,-0.009,0.000,0.000,0.000;0.000,0.865;-0.606,0.018;-0.023,-0.186;0.052,0.031;0.151,0.681;0.469
1.340,0.000,0.000,1.000,-0.003,0.000,0.000,0.000;0.000,0.818;-0.593,0.006;-0.008,-0.412;0.489,0.081;0.207,1.044;0.235
1.350,0.000,0.000,1.000,-0.001,0.000,0.000,0.000;0.000,0.687;-0.700,0.002;-0.003,0.408;0.002,-0.088;-0.063,1.038;0.305
1.360,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.945;-0.493,0.039;-0.035,0.158;-0.014,-0.173;-0.173,0.935;0.523
1.370,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.752;-0.592,0.014;-0.012,0.055;-0.005,-0.131;0.201,0.640;0.446
1.381,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.697;-0.223,0.004;-0.004,0.138;0.051,-0.359;0.138,0.718;0.343
1.391,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.681;-0.113,0.473;-0.746,-0.272;-0.142,-0.290;-0.393,0.959;0.494
1.401,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.714;-0.273,0.703;-0.976,0.230;0.003,-0.229;-0.101,0.442;0.824
1.411,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.892;-0.438,0.988;-0.643,-0.078;0.137,0.225;-0.307,0.748;0.393
1.421,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.834;-0.247,0.492;-0.285,-0.114;-0.064,0.249;-0.292,1.310;0.496
1.431,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.702;-0.318,-0.265;-0.071,-0.155;-0.170,0.111;-0.306,1.185;0.517
1.440,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.693;0.054,-0.880;0.023,-0.278;-0.400,0.033;-0.135,0.464;0.382
1.450,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.751;0.533,-1.134;0.061,-0.736;0.768,0.206;-0.136,0.563;0.137
1.460,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.686;0.237,-1.222;0.075,-0.311;0.957,-0.007;0.144,0.943;0.327
1.470,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.654;0.079,0.027;0.088,0.214;0.649,-0.138;-0.397,1.028;0.208
1.480,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.749;-0.013,0.163;0.043,-0.450;-0.116,0.912;-0.152,0.805;0.023
1.490,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.963;-0.232,0.057;0.015,-0.414;-0.106,1.134;-0.012,0.792;0.247
1.500,0.000,0.000,1.000,-0.000,0.000,0.000,0.000;0.000,0.657;0.050,0.020;0.005,-0.301;-0.803,0.357;-0.130,0.619;0.038
1.511,0.000,0.000,1.000,-0.522,0.000,0.000,0.000;0.000,0.542;0.106,0.208;0.302,0.000;-0.402,0.501;-0.218,0.596;0.366
1.521,0.000,0.000,1.000,-0.833,0.000,0.000,0.000;0.000,1.036;-0.218,0.393;0.584,-0.066;-0.339,0.544;-0.244,0.761;0.211
1.531,0.000,0.000,1.000,-0.942,0.000,0.000,0.000;0.000,1.198;0.339,0.380;0.658,0.431;0.142,0.211;-0.215,0.361;0.188
1.541,0.000,0.000,1.000,-0.980,0.000,0.000,0.000;0.000,1.302;0.538,0.435;0.519,0.388;0.401,0.068;-0.111,0.366;0.238
1.551,0.000,0.000,1.000,-0.993,0.000,0.000,0.000;0.000,0.852;0.130,0.069;0.324,0.097;0.946,0.024;-0.039,0.624;0.172
1.561,0.000,0.000,1.000,-0.998,0.000,0.000,0.000;0.000,0.631;0.108,0.496;-0.631,-0.619;0.463,0.008;-0.014,0.771;0.051
1.570,0.000,0.000,1.000,-0.999,0.000,0.000,0.000;0.000,0.855;0.082,-0.049;0.233,-0.240;0.179,0.003;-0.005,0.778;0.244
1.580,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,1.010;-0.327,-0.330;0.687,-0.111;-0.197,-0.079;-0.273,0.965;0.318
1.590,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,0.352;-0.114,-0.428;0.845,-0.187;0.055,-0.039;-0.089,0.969;0.202
1.600,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,0.123;-0.040,-0.237;0.360,-0.053;-0.054,0.094;0.143,0.208;0.406
1.610,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,0.957;-0.221,-0.083;0.126,-0.101;-0.247,0.197;-0.056,0.456;0.653
1.620,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,0.456;-0.701,-0.010;0.026,0.191;-0.213,0.246;0.176,1.564;0.102
1.631,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,0.647;-0.760,0.004;0.002,-0.864;0.806,0.549;0.068,0.746;0.357
1.641,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,0.619;-0.909,0.001;0.001,-0.071;0.042,0.662;-0.058,0.465;0.243
1.651,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,0.564;-0.739,0.000;0.000,-0.257;0.259,0.701;0.022,0.808;0.405
1.661,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,1.026;-0.929,0.000;0.000,-0.131;0.630,0.197;0.079,0.396;0.423
1.671,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,0.772;-0.802,0.000;0.000,0.100;0.330,0.296;-0.372,0.451;0.268
1.681,0.000,0.000,1.000,-1.000,0.000,0.000,0.000;0.000,0.998;-1.065,0.200;-0.123,0.533;0.491,0.428;0.030,0.904;-0.061
